img_id,rep,date,live_a1,dead_a1,soil_a1,LAI_a1,live_a2,dead_a2,soil_a2,LAI_a2,live_a3,dead_a3,soil_a3,LAI_a3,live_a4,dead_a4,soil_a4,LAI_a4,LAI_m2,visual_cov,crop
r204a,2,02.05.2018,34.44906125,38.142024469,27.408914281,0.344490612,29.1368498,43.570136965,27.293013235,0.291368498,28.702100646,44.117420745,27.180478609,0.287021006,57.4595067713,38.1049938443,4.43549938443,0.574595067713,0.113265306,12.5,ryegrass
r204b,2,02.05.2018,33.805113112,36.785357033,29.409529855,0.338051131,28.798284087,42.10141582,29.100300092,0.287982841,28.35728301,42.659760696,28.982956294,0.28357283,57.3412011388,37.792878578,4.86592028316,0.573412011388,0.125510204,12.5,ryegrass
r205a,2,02.05.2018,28.386138042,42.035049246,29.578812712,0.28386138,23.419706063,47.149122807,29.43117113,0.234197061,23.097972453,47.614169745,29.287857802,0.230979725,56.0340681748,39.5741959064,4.39173591874,0.560340681748,0.113265306,18.75,ryegrass
r205b,2,02.05.2018,27.256463527,40.271044937,32.472491536,0.272564635,22.876269621,44.980667128,32.14306325,0.228762696,22.594933056,45.420225454,31.98484149,0.225949331,55.1434095106,39.6679747615,5.18861572792,0.551434095106,0.131632653,18.75,ryegrass
r206a,2,02.05.2018,25.683864266,41.065039243,33.251096491,0.256838643,22.771910588,44.909491382,32.31859803,0.227719106,22.664666051,45.236995999,32.09833795,0.226646661,53.2442674669,41.9441558941,4.81157663897,0.532442674669,0.177508163,25,ryegrass
r206b,2,02.05.2018,26.230186211,38.645544783,35.124269006,0.262301862,23.185018467,42.71747076,34.097510773,0.231850185,23.079216682,43.05651739,33.864265928,0.230792167,54.0392236073,40.6913665743,5.26940981841,0.540392236073,0.193236735,25,ryegrass
r207a,2,02.05.2018,25.553054786,42.372172207,32.074773007,0.255530548,18.943809634,48.122499231,32.933691136,0.189438096,18.35757156,48.714027393,32.928401046,0.183575716,48.0051554324,46.6581063404,5.33673822715,0.480051554324,0.089795918,6.25,ryegrass
r207b,2,02.05.2018,25.341451216,41.058306402,33.600242382,0.253414512,18.848588027,46.711007233,34.44040474,0.18848588,18.316693598,47.21741305,34.465893352,0.183166936,47.655047707,46.4912280702,5.85372422284,0.47655047707,0.078571429,6.25,ryegrass
r208a,2,02.05.2018,23.596683595,39.472241459,36.931074946,0.235966836,12.517313019,47.38429132,40.09839566,0.12517313,11.470356263,48.095567867,40.434075869,0.114703563,32.7057363804,57.3426438904,9.95161972915,0.327057363804,0.35,4,ryegrass
r208b,2,02.05.2018,24.550342413,39.074042013,36.375615574,0.245503424,13.223299477,47.229916898,39.546783626,0.132232995,12.145083102,47.955140043,39.899776854,0.121450831,34.1888850416,56.2759695291,9.53514542936,0.341888850416,0.35,4,ryegrass
r501a,5,02.05.2018,29.915935673,38.132887042,31.951177285,0.299159357,41.173245614,33.453562635,25.373191751,0.411732456,42.170186981,33.377577716,24.452235303,0.42170187,81.6674361342,16.9619498307,1.37061403509,0.816674361342,0.930612245,100,ryegrass
r501b,5,02.05.2018,29.40183518,40.619709911,29.978454909,0.294018352,40.637984765,35.435422438,23.926592798,0.406379848,41.620979532,35.289704524,23.089315943,0.416209795,81.015793321,17.7559441367,1.22826254232,0.81015793321,0.590306122,100,ryegrass
r502a,5,02.05.2018,26.748614958,39.414531394,33.836853647,0.26748615,28.8545514,41.280009234,29.865439366,0.288545514,28.864650662,41.760445522,29.374903817,0.288646507,62.7385349338,34.5731378886,2.68832717759,0.627385349338,0.264285714,50,ryegrass
r502b,5,02.05.2018,26.765927978,40.929901508,32.304170514,0.26765928,28.924284395,42.617439982,28.458275623,0.289242844,28.914185134,43.10124269,27.984572176,0.289141851,62.8856955986,34.644313635,2.46999076639,0.628856955986,0.397959184,50,ryegrass
r503a,5,02.05.2018,37.246075716,33.667570791,29.086353493,0.372460757,33.850319329,38.880232379,27.269448292,0.338503193,33.205409357,39.768486457,27.026104186,0.332054094,65.0931055709,31.5169090489,3.38998538012,0.650931055709,0.251020408,37.5,ryegrass
r503b,5,02.05.2018,37.712084488,34.953543398,27.334372114,0.377120845,34.13406048,40.257098338,25.608841182,0.341340605,33.403066328,41.179497538,25.417436134,0.334030663,65.6139389043,31.3899469067,2.99611418898,0.656139389043,0.310204082,37.5,ryegrass
r504a,5,02.05.2018,30.897006771,38.552727762,30.550265466,0.308970068,31.114381348,41.477185288,27.408433364,0.311143813,30.883060172,42.108629578,27.008310249,0.308830602,62.2417474608,34.7832987073,2.97495383195,0.622417474608,0.276818367,25,ryegrass
r504b,5,02.05.2018,30.979243613,39.912280702,29.108475685,0.309792436,31.057633118,42.89300554,26.049361342,0.310576331,30.875846414,43.435480148,25.688673438,0.308758464,62.0767928593,35.2247807018,2.6984264389,0.620767928593,0.168520408,25,ryegrass
r505a,5,02.05.2018,17.047072176,50.577581564,32.37534626,0.170470722,16.434383657,52.976396584,30.58921976,0.164343837,16.321368113,53.44336719,30.235264697,0.163213681,47.1452754694,49.8831371191,2.97158741151,0.471452754694,0.185886735,18.75,ryegrass
r505b,5,02.05.2018,16.663781163,50.974338258,32.361880579,0.166637812,16.341566636,53.19040474,30.468028624,0.163415666,16.249230532,53.65497076,30.095798707,0.162492305,47.0159087412,49.9817251462,3.00236611265,0.470159087412,0.133163265,18.75,ryegrass
r506a,5,02.05.2018,26.391293475,44.272757002,29.335949523,0.263912935,19.846491228,50.304420591,29.849088181,0.198464912,19.016428132,51.152758541,29.830813327,0.190164281,48.9900738689,47.3982379194,3.61168821176,0.489900738689,0.165306122,12.5,ryegrass
r506b,5,02.05.2018,26.66060711,45.712623115,27.626769775,0.266606071,20.099453678,51.75871422,28.141832102,0.200994537,19.331909818,52.577235303,28.090854878,0.193319098,49.3209449061,47.3501461988,3.32890889504,0.493209449061,0.130102041,12.5,ryegrass
